age,sex,region,income,married,children,car,save_act,current_act,mortgage,pep
23,MALE,INNER_CITY,18766.9,YES,0,YES,YES,NO,YES,YES
30,MALE,RURAL,9915.67,NO,1,NO,YES,NO,YES,NO
45,FEMALE,RURAL,21881.6,NO,0,YES,YES,YES,NO,YES
50,MALE,TOWN,46794.4,YES,2,NO,YES,NO,YES,NO
41,FEMALE,INNER_CITY,20721.1,YES,0,YES,YES,YES,NO,NO
20,MALE,INNER_CITY,16688.5,NO,1,NO,YES,YES,YES,NO
46,FEMALE,RURAL,39068,YES,0,YES,YES,NO,YES,NO
50,FEMALE,INNER_CITY,27740.8,YES,1,YES,YES,NO,YES,YES
42,MALE,INNER_CITY,33584.9,NO,3,YES,YES,NO,NO,NO
57,FEMALE,TOWN,19621.3,YES,1,YES,NO,YES,NO,YES
63,FEMALE,INNER_CITY,47630.9,YES,0,NO,YES,NO,YES,NO
26,FEMALE,INNER_CITY,22378.5,NO,0,YES,NO,YES,YES,YES
62,FEMALE,RURAL,20837.1,YES,0,YES,YES,YES,NO,NO
26,FEMALE,SUBURBAN,23912.7,YES,0,YES,YES,YES,NO,NO
19,MALE,RURAL,8005.13,YES,1,NO,YES,YES,NO,NO
44,MALE,TOWN,34961.7,YES,1,NO,NO,NO,YES,NO
32,FEMALE,INNER_CITY,24627.6,YES,0,YES,YES,YES,YES,NO
56,FEMALE,RURAL,47315.3,YES,3,YES,YES,NO,NO,YES
26,MALE,TOWN,13196.2,YES,3,NO,YES,YES,NO,YES
43,FEMALE,TOWN,20528.9,NO,3,YES,NO,YES,NO,NO
40,MALE,TOWN,37227.8,NO,1,YES,YES,YES,NO,NO
29,FEMALE,INNER_CITY,21022.6,YES,2,NO,NO,YES,NO,NO
54,MALE,RURAL,49986.7,YES,1,YES,YES,YES,NO,YES
51,MALE,RURAL,44199.9,YES,0,YES,YES,YES,YES,NO
24,FEMALE,INNER_CITY,20050.2,YES,3,YES,YES,NO,NO,NO
20,FEMALE,SUBURBAN,13013.9,NO,2,NO,YES,NO,YES,NO
48,FEMALE,TOWN,39465.8,YES,0,YES,NO,NO,NO,NO
52,FEMALE,RURAL,39387.7,YES,0,NO,YES,YES,YES,NO
58,MALE,RURAL,41114.2,YES,2,YES,YES,YES,YES,YES
25,FEMALE,INNER_CITY,11171,NO,0,YES,YES,YES,NO,NO
32,MALE,RURAL,23805.5,NO,0,YES,YES,NO,NO,NO
31,FEMALE,TOWN,20979.5,YES,2,NO,YES,YES,NO,YES
18,MALE,SUBURBAN,10523.3,YES,0,NO,NO,NO,YES,NO
35,MALE,SUBURBAN,12403,YES,1,NO,YES,YES,NO,NO
47,FEMALE,INNER_CITY,21935.7,YES,0,YES,YES,NO,NO,NO
63,MALE,INNER_CITY,54182.5,YES,0,NO,YES,YES,NO,YES
47,FEMALE,TOWN,20628,YES,0,YES,NO,YES,NO,NO
33,MALE,INNER_CITY,28589.4,YES,0,NO,YES,YES,YES,NO
28,FEMALE,TOWN,26201.6,NO,2,YES,NO,YES,NO,NO
36,FEMALE,TOWN,18038,YES,3,NO,NO,YES,YES,NO
44,MALE,SUBURBAN,26553.5,NO,1,NO,NO,NO,NO,NO
45,FEMALE,INNER_CITY,26956,NO,0,NO,YES,NO,YES,NO
66,MALE,INNER_CITY,43720.4,NO,1,NO,YES,NO,YES,YES
60,FEMALE,INNER_CITY,27372.7,YES,1,YES,NO,YES,NO,NO
52,FEMALE,TOWN,16700.2,NO,1,YES,YES,YES,YES,YES
61,MALE,INNER_CITY,26527.9,NO,1,NO,NO,YES,NO,NO
65,FEMALE,INNER_CITY,58002.2,NO,0,NO,YES,YES,NO,NO
21,FEMALE,INNER_CITY,14827.2,NO,2,YES,NO,YES,NO,NO
25,MALE,TOWN,21366,YES,0,NO,YES,YES,NO,NO
62,MALE,SUBURBAN,40099.6,YES,0,YES,YES,YES,NO,NO
28,MALE,TOWN,16376.2,YES,0,NO,YES,YES,YES,NO
61,MALE,RURAL,40315.6,YES,2,YES,YES,YES,NO,YES
40,FEMALE,INNER_CITY,32089.9,NO,0,NO,YES,YES,NO,YES
18,MALE,TOWN,5960.4,YES,0,NO,YES,YES,NO,NO
34,MALE,SUBURBAN,17221.3,NO,0,NO,YES,YES,YES,NO
58,MALE,SUBURBAN,37681.4,NO,0,YES,NO,YES,YES,NO
