@relation survival-imbalanced-fold0

@attribute attribute1 numeric
@attribute attribute2 numeric
@attribute attribute3 numeric
@attribute class {0,1}

@data
0.45283,1,0.134615,0
0.358491,0.363636,0,0
0.490566,0.727273,0.019231,0
0.226415,0,0,0
0.245283,0.454545,0.269231,0
0.150943,0.090909,0.038461,0
0.075472,0.818182,0.134615,0
0.377358,0,0.019231,0
0.622642,0.272727,0.538462,0
0.584906,0.636364,0.153846,0
0.433962,0,0.019231,0
0.509434,0.454545,0,0
0.132075,0.181818,0.288462,0
0.528302,0,0.057692,0
0.509434,0.545455,0,0
0.528302,0.090909,0,0
0.415094,0.272727,0,0
0,0.363636,0.057692,0
0.641509,0,0,0
0.566038,0.545455,0,0
0.320755,0,0.057692,0
0.698113,0.727273,0,0
0.54717,0.545455,0.134615,0
0.075472,0,0.576923,0
0.433962,0.272727,0.019231,0
0.207547,0.636364,0,0
0.660377,0.090909,0.038461,0
0.377358,0.272727,0,0
0.169811,0.818182,0,0
0.018868,0.090909,0.038461,0
0.358491,0.818182,0.019231,0
0.396226,0.545455,0.134615,0
0.245283,0.545455,0.057692,0
0.415094,0.181818,0.096154,0
0.283019,0.181818,0,0
0.830189,0.454545,0,0
0.320755,0.181818,0.076923,0
0,0.545455,0.019231,0
0.132075,0.181818,0,0
0.622642,0.727273,0,0
0.54717,0.545455,0.019231,0
0.490566,0.181818,0,0
0.339623,0.272727,0.153846,0
0.207547,0.636364,0,0
0.584906,0.090909,0,0
0.754717,0.818182,0,0
0.150943,0.181818,0.019231,0
0.283019,0.818182,0.019231,0
0.754717,0.454545,0,0
0.245283,0.636364,0,0
0.377358,0.272727,0,0
0.735849,0.727273,0,0
0.301887,0.363636,0,0
0.54717,0.181818,0,0
0.528302,0.272727,0.038461,0
0.54717,0.818182,0.057692,0
0.471698,1,0.057692,0
0.509434,0.363636,0,0
0.150943,0.727273,0.211538,0
0.45283,0.363636,0,0
0.377358,0.090909,0,0
0.358491,0.181818,0.019231,0
0.622642,0.272727,0,0
0.264151,0.454545,0.019231,0
0.811321,0.909091,0,0
0.45283,0,0.019231,0
0.264151,0.818182,0.307692,0
0.45283,0.727273,0,0
0.320755,0.818182,0,0
0.679245,0,0,0
0.528302,0,0,0
0.433962,0.454545,0,0
0.377358,0.727273,0.019231,0
0.660377,0,0,0
0.415094,0.545455,0,0
0.301887,0,0.038461,1
0.301887,0.636364,0.384615,1
0.698113,0.454545,0.019231,1
0.698113,0.545455,0.153846,1
0.584906,0.636364,0,1
0.415094,0.090909,0.038461,1
0.301887,1,0.057692,1
0.471698,0.454545,0.115385,1
0.207547,0.545455,0,1
0.396226,0.090909,0.057692,1
0.396226,0.090909,0.25,1
0.603774,0.090909,0.25,1
0.226415,1,0.019231,1
0.075472,0.727273,0.173077,1
0.245283,0.090909,0.038461,1
0.358491,0.545455,0.192308,1
0.264151,0.545455,0.115385,1
0.245283,0,1,1
0.490566,0.727273,0.057692,1
0.509434,0.363636,0.269231,1
0.283019,0.818182,0.019231,1
0.415094,0.727273,0.076923,1
0.830189,0.636364,0.057692,1
0.264151,0.454545,0.365385,1
0.45283,0.636364,0.442308,1
0.660377,0,0,1
0.754717,0,0,1
0.113208,0.181818,0.019231,0
0,0.636364,0,0
0.886792,0.636364,0.057692,0
0.471698,0,0,0
0.113208,1,0,0
0.622642,0.454545,0,0
0.735849,0.181818,0,0
0.320755,0.727273,0.230769,0
0.849057,0.363636,0.019231,0
0.320755,0.909091,0.076923,0
0.566038,0.272727,0.480769,0
0.622642,0.454545,0,0
0.509434,0.545455,0.173077,0
0.226415,0.636364,0,0
0.471698,0.818182,0.019231,0
0.528302,0.272727,0.019231,0
0.150943,0.363636,0.057692,0
0.54717,0.454545,0,0
0.056604,0,0.192308,0
0.245283,0.727273,0.076923,0
0.773585,0.909091,0.038461,0
0.188679,0,0,0
0.283019,0.818182,0,0
0.396226,0.636364,0,0
0.792453,0.545455,0,0
0.603774,0.727273,0,0
0.641509,0.909091,0,0
0.660377,0.818182,0.019231,0
0.150943,0.545455,0.019231,0
0.471698,0,0.019231,0
0.339623,0.727273,0,0
0.377358,0.272727,0.115385,0
0.622642,0.272727,0.173077,0
0.188679,0.636364,0,0
0.490566,0.727273,0.038461,0
0.075472,0.272727,0.192308,0
0.415094,1,0,0
0.45283,0.090909,0.134615,0
0.056604,0.181818,0,0
0.603774,0.727273,0,0
0.132075,0.454545,0,0
0.396226,0.727273,0.019231,0
0.490566,0.818182,0,0
0.54717,0.545455,0,0
0.207547,1,0.153846,0
0.415094,0.454545,0.076923,0
0.415094,0.363636,0.019231,0
0.150943,0.727273,0,0
0.45283,0.181818,0.057692,0
0.283019,0.909091,0,0
0.584906,0.545455,0,0
0.169811,0.090909,0.038461,0
0.207547,0.545455,0,0
0.075472,0.181818,0,0
0.207547,0.090909,0.153846,0
0.358491,0.727273,0,0
0.150943,0.181818,0,0
0.09434,0.545455,0.25,0
0.754717,0.090909,0.153846,0
0.641509,0.636364,0.423077,0
0.283019,0.090909,0.269231,0
0.584906,0.909091,0,0
0.226415,0.272727,0.076923,0
0.339623,0.363636,0.038461,0
0.226415,0.363636,0.384615,0
0.226415,0.454545,0.019231,0
0.698113,0.272727,0,0
0.169811,0.454545,0,0
0.226415,0.181818,0.019231,0
0.660377,0.545455,0,0
0.396226,0.090909,0.019231,0
0.018868,0.636364,0.076923,0
0.716981,0.818182,0,0
0.584906,0.090909,0,0
0.509434,0.818182,0,0
0.433962,0.090909,0.057692,1
0.226415,0.090909,0,1
0.415094,1,0.057692,1
0.603774,0.636364,0.365385,1
0.490566,0.636364,0.173077,1
0.660377,0.727273,0.288462,1
0.509434,0.272727,0.096154,1
0.320755,0.636364,0,1
0.245283,0.545455,0,1
0.320755,0.454545,0.442308,1
0.54717,0.363636,0.673077,1
0.584906,0.909091,0.019231,1
0.566038,0.636364,0,1
0.339623,0.818182,0.134615,1
0.433962,0,0.076923,1
0.603774,0,0,1
0.150943,1,0.403846,1
0.754717,0,0.076923,1
0.679245,0.272727,0.25,1
0.509434,0.545455,0.019231,1
0.433962,0.636364,0.019231,1
0.90566,0.636364,0.019231,1
0.264151,0,0.173077,1
0.301887,0.363636,0.096154,1
0.320755,0.363636,0,1
0.566038,0.090909,0.326923,1
0.415094,0.363636,0.057692,1
